Precision;Crisp;Robust;DI-1.0;DI.9999;DI.999;DI.99;DI.98;DI.95;DI;Denied-18;Overdue-18
0;2.52%;1;1;0;0;0;0;0;0;7.81;2.52
0.1;3.53%;1;1;0;0;0;0;0;0;7.81;3.53
0.2;2.26%;1;2;0;0;0;0;0;0;7.27;2.26
0.3;2.76%;1;1;0;0;0;0.03;0;0;7.54;2.76
0.4;3.01%;0;1;2;0;0;0.16;0;0;7.27;3.01
0.5;3.53%;2;1;0;0;0;0.13;0;0.03;7.81;3.53
0.6;3.78%;3;1;0;0;0;0.13;0;0.03;7.81;3.78
0.7;2.77%;4;1;0;0;0;0.31;0;0.03;7.81;2.77
0.8;3.02%;3;3;1;1;0;0.31;0;0.05;7.54;3.02
0.9;2.76%;2;2;1;1;0;0.44;0;0.16;7.27;2.76
1;4.52%;2;2;0;0;0;0.44;0;0.13;7.54;4.52
